    # Energy          Si          Cr          Mn          Fe          Co
   -19.94607     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.93707     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.92707     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.91707     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.90807     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.89807     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.88907     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.87907     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.86907     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.86007     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.85007     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.84107     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.83107     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.82107     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.81207     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.80207     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.79307     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.78307     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.77307     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.76407     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.75407     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.74507     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.73507     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.72507     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.71607     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.70607     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.69707     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.68707     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.67707     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.66807     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.65807     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.64907     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.63907     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.62907     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.62007     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.61007     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.60007     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.59107     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.58107     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.57207     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.56207     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.55207     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.54307     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.53307     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.52407     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.51407     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.50407     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.49507     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.48507     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.47607     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.46607     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.45607     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.44707     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.43707     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.42807     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.41807     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.40807     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.39907     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.38907     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.38007     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.37007     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.36007     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.35107     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.34107     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.33207     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.32207     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.31207     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.30307     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.29307     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.28407     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.27407     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.26407     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.25507     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.24507     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.23607     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.22607     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.21607     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.20707     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.19707     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.18807     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.17807     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.16807     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.15907     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.14907     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.13907     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.13007     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.12007     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.11107     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.10107     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.09107     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.08207     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.07207     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.06307     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.05307     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.04307     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.03407     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.02407     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.01507     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.00507     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.99507     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.98607     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.97607     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.96707     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.95707     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.94707     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.93807     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.92807     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.91907     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.90907     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.89907     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.89007     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.88007     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.87107     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.86107     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.85107     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.84207     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.83207     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.82307     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.81307     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.80307     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.79407     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.78407     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.77507     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.76507     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.75507     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.74607     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.73607     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.72707     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.71707     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.70707     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.69807     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.68807     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.67907     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.66907     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.65907     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.65007     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.64007     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.63007     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.62107     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.61107     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.60207     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.59207     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.58207     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.57307     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.56307     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.55407     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.54407     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.53407     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.52507     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.51507     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.50607     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.49607     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.48607     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.47707     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.46707     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.45807     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.44807     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.43807     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.42907     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.41907     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.41007     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.40007     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.39007     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.38107     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.37107     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.36207     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.35207     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.34207     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.33307     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.32307     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.31407     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.30407     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.29407     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.28507     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.27507     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.26607     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.25607     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.24607     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.23707     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.22707     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.21807     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.20807     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.19807     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.18907     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.17907     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.17007     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.16007     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.15007     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.14107     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.13107     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.12107     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.11207     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.10207     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.09307     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.08307     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.07307     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.06407     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.05407     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.04507     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.03507     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.02507     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.01607     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.00607     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.99707     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.98707     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.97707     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.96807     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.95807     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.94907     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.93907     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.92907     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.92007     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.91007     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.90107     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.89107     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.88107     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.87207     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.86207     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.85307     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.84307     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.83307     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.82407     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.81407     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.80507     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.79507     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.78507     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.77607     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.76607     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.75707     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.74707     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.73707     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.72807     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.71807     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.70907     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.69907     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.68907     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.68007     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.67007     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.66107     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.65107     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.64107     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.63207     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.62207     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.61207     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.60307     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.59307     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.58407     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.57407     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.56407     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.55507     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.54507     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.53607     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.52607     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.51607     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.50707     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.49707     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.48807     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.47807     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.46807     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.45907     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.44907     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.44007     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.43007     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.42007     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.41107     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.40107     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.39207     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.38207     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.37207     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.36307     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.35307     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.34407     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.33407     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.32407     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.31507     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.30507     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.29607     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.28607     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.27607     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.26707     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.25707     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.24807     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.23807     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.22807     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.21907     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.20907     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.20007     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.19007     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.18007     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.17107     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.16107     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.15207     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.14207     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.13207     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.12307     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.11307     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.10307     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.09407     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.08407     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.07507     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.06507     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.05507     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.04607     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.03607     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.02707     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.01707     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.00707     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.99807     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.98807     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.97907     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.96907     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.95907     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.95007     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.94007     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.93107     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.92107     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.91107     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.90207     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.89207     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.88307     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.87307     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.86307     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.85407     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.84407     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.83507     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.82507     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.81507     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.80607     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.79607     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.78707     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.77707     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.76707     0.00000     0.00000     0.00000     0.00000     0.00000
