    # Energy          Si          Cr          Mn          Fe          Ni
   -12.98800     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.98700     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.98600     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.98400     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.98300     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.98200     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.98100     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.98000     0.00000     0.00000     0.00000     0.00000     0.00000
