    # Energy          Si          Ti          Cr          Fe          Ni
   -19.32872     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.31872     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.30972     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.29972     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.29072     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.28072     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.27072     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.26172     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.25172     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.24272     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.23272     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.22272     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.21372     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.20372     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.19472     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.18472     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.17472     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.16572     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.15572     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.14672     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.13672     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.12672     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.11772     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.10772     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.09872     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.08872     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.07872     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.06972     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.05972     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.05072     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.04072     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.03072     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.02172     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.01172     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.00272     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.99272     0.00000     0.00000     0.00000     0.00000     0.00000
