    # Energy          Si          Cr          Mn          Fe          Ni
   -19.79150     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.78150     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.77150     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.76250     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.75250     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.74350     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.73350     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.72350     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.71450     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.70450     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.69550     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.68550     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.67550     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.66650     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.65650     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.64750     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.63750     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.62750     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.61850     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.60850     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.59950     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.58950     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.57950     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.57050     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.56050     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.55050     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.54150     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.53150     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.52250     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.51250     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.50250     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.49350     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.48350     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.47450     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.46450     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.45450     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.44550     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.43550     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.42650     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.41650     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.40650     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.39750     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.38750     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.37850     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.36850     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.35850     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.34950     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.33950     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.33050     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.32050     0.00000     0.00000     0.00000     0.00000     0.00000
