    # Energy          Fe          Si
   -19.40929     0.00000     0.00000
   -19.39929     0.00000     0.00000
   -19.39029     0.00000     0.00000
   -19.38029     0.00000     0.00000
   -19.37129     0.00000     0.00000
   -19.36129     0.00000     0.00000
   -19.35129     0.00000     0.00000
   -19.34229     0.00000     0.00000
   -19.33229     0.00000     0.00000
   -19.32329     0.00000     0.00000
   -19.31329     0.00000     0.00000
   -19.30329     0.00000     0.00000
   -19.29429     0.00000     0.00000
   -19.28429     0.00000     0.00000
   -19.27529     0.00000     0.00000
   -19.26529     0.00000     0.00000
   -19.25529     0.00000     0.00000
   -19.24629     0.00000     0.00000
   -19.23629     0.00000     0.00000
   -19.22729     0.00000     0.00000
   -19.21729     0.00000     0.00000
   -19.20729     0.00000     0.00000
   -19.19829     0.00000     0.00000
   -19.18829     0.00000     0.00000
   -19.17929     0.00000     0.00000
   -19.16929     0.00000     0.00000
   -19.15929     0.00000     0.00000
   -19.15029     0.00000     0.00000
   -19.14029     0.00000     0.00000
   -19.13129     0.00000     0.00000
   -19.12129     0.00000     0.00000
   -19.11129     0.00000     0.00000
   -19.10229     0.00000     0.00000
   -19.09229     0.00000     0.00000
   -19.08329     0.00000     0.00000
   -19.07329     0.00000     0.00000
   -19.06329     0.00000     0.00000
   -19.05429     0.00000     0.00000
   -19.04429     0.00000     0.00000
   -19.03529     0.00000     0.00000
   -19.02529     0.00000     0.00000
   -19.01529     0.00000     0.00000
   -19.00629     0.00000     0.00000
   -18.99629     0.00000     0.00000
   -18.98729     0.00000     0.00000
   -18.97729     0.00000     0.00000
   -18.96729     0.00000     0.00000
   -18.95829     0.00000     0.00000
   -18.94829     0.00000     0.00000
   -18.93829     0.00000     0.00000
   -18.92929     0.00000     0.00000
   -18.91929     0.00000     0.00000
   -18.91029     0.00000     0.00000
   -18.90029     0.00000     0.00000
   -18.89029     0.00000     0.00000
   -18.88129     0.00000     0.00000
   -18.87129     0.00000     0.00000
   -18.86229     0.00000     0.00000
   -18.85229     0.00000     0.00000
   -18.84229     0.00000     0.00000
   -18.83329     0.00000     0.00000
   -18.82329     0.00000     0.00000
   -18.81429     0.00000     0.00000
   -18.80429     0.00000     0.00000
   -18.79429     0.00000     0.00000
   -18.78529     0.00000     0.00000
   -18.77529     0.00000     0.00000
   -18.76629     0.00000     0.00000
   -18.75629     0.00000     0.00000
   -18.74629     0.00000     0.00000
   -18.73729     0.00000     0.00000
   -18.72729     0.00000     0.00000
   -18.71829     0.00000     0.00000
   -18.70829     0.00000     0.00000
   -18.69829     0.00000     0.00000
   -18.68929     0.00000     0.00000
   -18.67929     0.00000     0.00000
   -18.67029     0.00000     0.00000
   -18.66029     0.00000     0.00000
   -18.65029     0.00000     0.00000
   -18.64129     0.00000     0.00000
   -18.63129     0.00000     0.00000
   -18.62229     0.00000     0.00000
   -18.61229     0.00000     0.00000
   -18.60229     0.00000     0.00000
   -18.59329     0.00000     0.00000
   -18.58329     0.00000     0.00000
   -18.57429     0.00000     0.00000
   -18.56429     0.00000     0.00000
   -18.55429     0.00000     0.00000
   -18.54529     0.00000     0.00000
   -18.53529     0.00000     0.00000
   -18.52629     0.00000     0.00000
   -18.51629     0.00000     0.00000
   -18.50629     0.00000     0.00000
   -18.49729     0.00000     0.00000
   -18.48729     0.00000     0.00000
   -18.47829     0.00000     0.00000
   -18.46829     0.00000     0.00000
   -18.45829     0.00000     0.00000
   -18.44929     0.00000     0.00000
   -18.43929     0.00000     0.00000
   -18.42929     0.00000     0.00000
   -18.42029     0.00000     0.00000
   -18.41029     0.00000     0.00000
   -18.40129     0.00000     0.00000
   -18.39129     0.00000     0.00000
   -18.38129     0.00000     0.00000
   -18.37229     0.00000     0.00000
   -18.36229     0.00000     0.00000
   -18.35329     0.00000     0.00000
   -18.34329     0.00000     0.00000
   -18.33329     0.00000     0.00000
   -18.32429     0.00000     0.00000
   -18.31429     0.00000     0.00000
   -18.30529     0.00000     0.00000
   -18.29529     0.00000     0.00000
   -18.28529     0.00000     0.00000
   -18.27629     0.00000     0.00000
   -18.26629     0.00000     0.00000
   -18.25729     0.00000     0.00000
   -18.24729     0.00000     0.00000
   -18.23729     0.00000     0.00000
   -18.22829     0.00000     0.00000
   -18.21829     0.00000     0.00000
   -18.20929     0.00000     0.00000
   -18.19929     0.00000     0.00000
   -18.18929     0.00000     0.00000
   -18.18029     0.00000     0.00000
   -18.17029     0.00000     0.00000
   -18.16129     0.00000     0.00000
   -18.15129     0.00000     0.00000
   -18.14129     0.00000     0.00000
   -18.13229     0.00000     0.00000
   -18.12229     0.00000     0.00000
   -18.11329     0.00000     0.00000
   -18.10329     0.00000     0.00000
   -18.09329     0.00000     0.00000
   -18.08429     0.00000     0.00000
   -18.07429     0.00000     0.00000
   -18.06529     0.00000     0.00000
   -18.05529     0.00000     0.00000
   -18.04529     0.00000     0.00000
   -18.03629     0.00000     0.00000
   -18.02629     0.00000     0.00000
   -18.01729     0.00000     0.00000
   -18.00729     0.00000     0.00000
   -17.99729     0.00000     0.00000
   -17.98829     0.00000     0.00000
   -17.97829     0.00000     0.00000
   -17.96929     0.00000     0.00000
   -17.95929     0.00000     0.00000
   -17.94929     0.00000     0.00000
   -17.94029     0.00000     0.00000
   -17.93029     0.00000     0.00000
   -17.92029     0.00000     0.00000
   -17.91129     0.00000     0.00000
   -17.90129     0.00000     0.00000
   -17.89229     0.00000     0.00000
   -17.88229     0.00000     0.00000
