    # Energy          Si          Ti          Cr          Mn          Fe
   -19.15704     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.14804     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.13804     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.12804     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.11904     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.10904     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.10004     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.09004     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.08004     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.07104     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.06104     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.05204     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.04204     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.03204     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.02304     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.01304     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.00404     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.99404     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.98404     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.97504     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.96504     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.95604     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.94604     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.93604     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.92704     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.91704     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.90804     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.89804     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.88804     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.87904     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.86904     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.86004     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.85004     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.84004     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.83104     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.82104     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.81104     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.80204     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.79204     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.78304     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.77304     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.76304     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.75404     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.74404     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.73504     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.72504     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.71504     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.70604     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.69604     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.68704     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.67704     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.66704     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.65804     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.64804     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.63904     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.62904     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.61904     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.61004     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.60004     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.59104     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.58104     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.57104     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.56204     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.55204     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.54304     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.53304     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.52304     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.51404     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.50404     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.49504     0.00000     0.00000     0.00000     0.00000     0.00000
